"","Term","Ont","N","Up","Down","P.Up","P.Down"
"GO:0140299","small molecule sensor activity","MF",1,0,0,1,1
"GO:0047708","biotinidase activity","MF",1,0,0,1,1
"GO:0031834","neurokinin receptor binding","MF",1,0,0,1,1
"GO:0031835","substance P receptor binding","MF",1,0,0,1,1
"GO:0004995","tachykinin receptor activity","MF",3,0,0,1,1
"GO:0016497","substance K receptor activity","MF",1,0,0,1,1
"GO:0016496","substance P receptor activity","MF",1,0,0,1,1
"GO:0061628","H3K27me3 modified histone binding","MF",2,0,0,1,1
"GO:0106140","P-TEFb complex binding","MF",1,0,0,1,1
"GO:0004801","sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity","MF",1,0,0,1,1
"GO:0016744","transferase activity, transferring aldehyde or ketonic groups","MF",3,0,0,1,1
"GO:0015433","ATPase-coupled peptide antigen transmembrane transporter activity","MF",3,0,0,1,1
"GO:0015440","ATPase-coupled peptide transmembrane transporter activity","MF",3,0,0,1,1
"GO:0046980","tapasin binding","MF",1,0,0,1,1
"GO:0062061","TAP complex binding","MF",1,0,0,1,1
"GO:0004829","threonine-tRNA ligase activity","MF",1,0,0,1,1
"GO:0004838","L-tyrosine:2-oxoglutarate aminotransferase activity","MF",1,0,0,1,1
"GO:0070547","L-tyrosine aminotransferase activity","MF",1,0,0,1,1
"GO:0004960","thromboxane receptor activity","MF",1,0,0,1,1
"GO:0004961","thromboxane A2 receptor activity","MF",1,0,0,1,1
"GO:0004796","thromboxane-A synthase activity","MF",1,0,0,1,1
"GO:0036134","12-hydroxyheptadecatrienoic acid synthase activity","MF",1,0,0,1,1
"GO:0008263","pyrimidine-specific mismatch base pair DNA N-glycosylase activity","MF",2,0,0,1,1
"GO:0043739","G/U mismatch-specific uracil-DNA glycosylase activity","MF",1,0,0,1,1
"GO:0038100","nodal binding","MF",2,0,0,1,1
"GO:0000332","template for synthesis of G-rich strand of telomere DNA activity","MF",1,0,0,1,1
"GO:0000497","DNA template activity","MF",1,0,0,1,1
"GO:0003721","telomerase RNA reverse transcriptase activity","MF",2,0,0,1,1
"GO:0015091","ferric iron transmembrane transporter activity","MF",1,0,0,1,1
"GO:0072510","trivalent inorganic cation transmembrane transporter activity","MF",1,0,0,1,1
"GO:0031723","CXCR4 chemokine receptor binding","MF",1,0,0,1,1
"GO:0004998","transferrin receptor activity","MF",2,0,0,1,1
"GO:0034714","type III transforming growth factor beta receptor binding","MF",3,0,0,1,1
"GO:0070123","transforming growth factor beta receptor activity, type III","MF",1,0,0,1,1
"GO:0004511","tyrosine 3-monooxygenase activity","MF",1,0,0,1,1
"GO:0004797","thymidine kinase activity","MF",2,0,0,1,1
"GO:0004802","transketolase activity","MF",2,0,0,1,1
"GO:0030274","LIM domain binding","MF",6,0,0,1,1
"GO:0042497","triacyl lipopeptide binding","MF",1,0,0,1,1
"GO:0036143","kringle domain binding","MF",1,0,0,1,1
"GO:0005031","tumor necrosis factor-activated receptor activity","MF",7,0,0,1,1
"GO:0031014","troponin T binding","MF",4,0,0,1,1
"GO:0030172","troponin C binding","MF",3,0,0,1,1
"GO:0030899","calcium-dependent ATPase activity","MF",3,0,0,1,1
"GO:0098633","collagen fibril binding","MF",1,0,0,1,1
"GO:0003916","DNA topoisomerase activity","MF",5,0,0,1,1
"GO:0003917","DNA topoisomerase type I (single strand cut, ATP-independent) activity","MF",3,0,0,1,1
"GO:0003918","DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity","MF",2,0,0,1,1
"GO:0061649","ubiquitin modification-dependent histone binding","MF",2,0,0,1,1
"GO:0004510","tryptophan 5-monooxygenase activity","MF",1,0,0,1,1
"GO:0004807","triose-phosphate isomerase activity","MF",1,0,0,1,1
"GO:0008929","methylglyoxal synthase activity","MF",1,0,0,1,1
"GO:0008119","thiopurine S-methyltransferase activity","MF",1,0,0,1,1
"GO:0004447","iodide peroxidase activity","MF",1,0,0,1,1
"GO:0031714","C5a anaphylatoxin chemotactic receptor binding","MF",1,0,0,1,1
"GO:0031715","C5L2 anaphylatoxin chemotactic receptor binding","MF",1,0,0,1,1
"GO:0005174","CD40 receptor binding","MF",2,0,0,1,1
"GO:0004876","complement component C3a receptor activity","MF",1,0,0,1,1
"GO:0008437","thyrotropin-releasing hormone activity","MF",1,0,0,1,1
"GO:0004997","thyrotropin-releasing hormone receptor activity","MF",1,0,0,1,1
"GO:0015279","store-operated calcium channel activity","MF",5,0,0,1,1
"GO:0072570","ADP-D-ribose binding","MF",1,0,0,1,1
"GO:0072571","mono-ADP-D-ribose binding","MF",1,0,0,1,1
"GO:0004996","thyroid-stimulating hormone receptor activity","MF",2,0,0,1,1
"GO:0042356","GDP-4-dehydro-D-rhamnose reductase activity","MF",1,0,0,1,1
"GO:0047918","GDP-mannose 3,5-epimerase activity","MF",1,0,0,1,1
"GO:0050577","GDP-L-fucose synthase activity","MF",1,0,0,1,1
"GO:0120160","intraciliary transport particle A binding","MF",2,0,0,1,1
"GO:0001856","complement component C5a binding","MF",1,0,0,1,1
"GO:0004878","complement component C5a receptor activity","MF",1,0,0,1,1
"GO:0004799","thymidylate synthase activity","MF",1,0,0,1,1
"GO:0042083","5,10-methylenetetrahydrofolate-dependent methyltransferase activity","MF",1,0,0,1,1
"GO:0004503","monophenol monooxygenase activity","MF",2,0,0,1,1
"GO:0016716","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, another compound as one donor, and incorporation of one atom of oxygen","MF",2,0,0,1,1
"GO:0019782","ISG15 activating enzyme activity","MF",1,0,0,1,1
"GO:0042296","ISG15 transferase activity","MF",3,0,0,1,1
"GO:0061656","SUMO conjugating enzyme activity","MF",1,0,0,1,1
"GO:0001165","RNA polymerase I cis-regulatory region sequence-specific DNA binding","MF",1,0,0,1,1
"GO:0017077","oxidative phosphorylation uncoupler activity","MF",3,0,0,1,1
"GO:0036435","K48-linked polyubiquitin modification-dependent protein binding","MF",3,0,0,1,1
"GO:0097160","polychlorinated biphenyl binding","MF",1,0,0,1,1
"GO:0008120","ceramide glucosyltransferase activity","MF",1,0,0,1,1
"GO:0102769","dihydroceramide glucosyltransferase activity","MF",1,0,0,1,1
"GO:0003979","UDP-glucose 6-dehydrogenase activity","MF",1,0,0,1,1
"GO:0003983","UTP:glucose-1-phosphate uridylyltransferase activity","MF",1,0,0,1,1
"GO:0051748","UTP-monosaccharide-1-phosphate uridylyltransferase activity","MF",1,0,0,1,1
"GO:0008489","UDP-galactose:glucosylceramide beta-1,4-galactosyltransferase activity","MF",3,0,0,1,1
"GO:0047263","N-acylsphingosine galactosyltransferase activity","MF",1,0,0,1,1
"GO:0004849","uridine kinase activity","MF",1,0,0,1,1
"GO:0004588","orotate phosphoribosyltransferase activity","MF",1,0,0,1,1
"GO:0004590","orotidine-5'-phosphate decarboxylase activity","MF",1,0,0,1,1
"GO:0004850","uridine phosphorylase activity","MF",1,0,0,1,1
"GO:0004853","uroporphyrinogen decarboxylase activity","MF",1,0,0,1,1
"GO:0004852","uroporphyrinogen-III synthase activity","MF",1,0,0,1,1
"GO:0071558","histone demethylase activity (H3-K27 specific)","MF",2,0,0,1,1
"GO:0004832","valine-tRNA ligase activity","MF",1,0,0,1,1
"GO:0038181","bile acid receptor activity","MF",2,0,0,1,1
"GO:0038186","lithocholic acid receptor activity","MF",1,0,0,1,1
"GO:1902098","calcitriol binding","MF",1,0,0,1,1
"GO:1902121","lithocholic acid binding","MF",1,0,0,1,1
"GO:0043183","vascular endothelial growth factor receptor 1 binding","MF",2,0,0,1,1
"GO:0034189","very-low-density lipoprotein particle binding","MF",1,0,0,1,1
"GO:0038025","reelin receptor activity","MF",2,0,0,1,1
"GO:0097603","temperature-gated ion channel activity","MF",2,1,0,0.00998883864736833,1
"GO:0035175","histone kinase activity (H3-S10 specific)","MF",1,0,0,1,1
"GO:0072354","histone kinase activity (H3-T3 specific)","MF",1,0,0,1,1
"GO:0042799","histone methyltransferase activity (H4-K20 specific)","MF",1,0,0,1,1
"GO:0005115","receptor tyrosine kinase-like orphan receptor binding","MF",1,0,0,1,1
"GO:0070337","3'-flap-structured DNA binding","MF",1,0,0,1,1
"GO:0004855","xanthine oxidase activity","MF",1,0,0,1,1
"GO:0016727","oxidoreductase activity, acting on CH or CH2 groups, oxygen as acceptor","MF",1,0,0,1,1
"GO:0000404","heteroduplex DNA loop binding","MF",1,0,0,1,1
"GO:0045027","DNA end binding","MF",1,0,0,1,1
"GO:0016151","nickel cation binding","MF",1,1,0,0.00500667556742296,1
"GO:0008331","high voltage-gated calcium channel activity","MF",10,0,0,1,1
"GO:0086007","voltage-gated calcium channel activity involved in cardiac muscle cell action potential","MF",5,0,0,1,1
"GO:0086056","voltage-gated calcium channel activity involved in AV node cell action potential","MF",3,0,0,1,1
"GO:0086059","voltage-gated calcium channel activity involved SA node cell action potential","MF",2,0,0,1,1
"GO:0005385","zinc ion transmembrane transporter activity","MF",5,1,0,0.0247894232001313,1
"GO:0015633","ATPase-coupled zinc transmembrane transporter activity","MF",1,0,0,1,1
"GO:0035804","structural constituent of egg coat","MF",1,0,0,1,1
"GO:0086057","voltage-gated calcium channel activity involved in bundle of His cell action potential","MF",1,0,0,1,1
"GO:0019806","bromide peroxidase activity","MF",1,0,0,1,1
"GO:0004573","mannosyl-oligosaccharide glucosidase activity","MF",1,0,0,1,1
"GO:0004910","interleukin-1, type II, blocking receptor activity","MF",1,0,0,1,1
"GO:0038147","C-X-C motif chemokine 12 receptor activity","MF",1,0,0,1,1
"GO:0043994","histone acetyltransferase activity (H3-K23 specific)","MF",1,0,0,1,1
"GO:0120146","sulfatide binding","MF",1,0,0,1,1
"GO:0015227","acyl carnitine transmembrane transporter activity","MF",1,0,0,1,1
"GO:0071207","histone pre-mRNA stem-loop binding","MF",1,0,0,1,1
"GO:0004070","aspartate carbamoyltransferase activity","MF",1,0,0,1,1
"GO:0004151","dihydroorotase activity","MF",1,0,0,1,1
"GO:0070335","aspartate binding","MF",1,0,0,1,1
"GO:0004777","succinate-semialdehyde dehydrogenase (NAD+) activity","MF",1,0,0,1,1
"GO:0009013","succinate-semialdehyde dehydrogenase [NAD(P)+] activity","MF",1,0,0,1,1
"GO:0047025","3-oxoacyl-[acyl-carrier-protein] reductase (NADH) activity","MF",1,0,0,1,1
"GO:0099510","calcium ion binding involved in regulation of cytosolic calcium ion concentration","MF",2,0,0,1,1
"GO:0099534","calcium ion binding involved in regulation of presynaptic cytosolic calcium ion concentration","MF",2,0,0,1,1
"GO:0099567","calcium ion binding involved in regulation of postsynaptic cytosolic calcium ion concentration","MF",1,0,0,1,1
"GO:0047499","calcium-independent phospholipase A2 activity","MF",4,0,0,1,1
"GO:0031716","calcitonin receptor binding","MF",2,0,0,1,1
"GO:0032841","calcitonin binding","MF",1,0,0,1,1
"GO:0031997","N-terminal myristoylation domain binding","MF",3,0,0,1,1
"GO:0005105","type 1 fibroblast growth factor receptor binding","MF",3,0,0,1,1
"GO:0031800","type 3 metabotropic glutamate receptor binding","MF",1,0,0,1,1
"GO:0035501","MH1 domain binding","MF",1,0,0,1,1
"GO:0015190","L-leucine transmembrane transporter activity","MF",1,0,0,1,1
"GO:0015196","L-tryptophan transmembrane transporter activity","MF",1,0,0,1,1
"GO:0015658","branched-chain amino acid transmembrane transporter activity","MF",1,0,0,1,1
"GO:1990738","pseudouridine 5'-phosphatase activity","MF",1,0,0,1,1
"GO:0050253","retinyl-palmitate esterase activity","MF",1,0,0,1,1
"GO:0055103","ligase regulator activity","MF",1,0,0,1,1
"GO:0004596","peptide alpha-N-acetyltransferase activity","MF",1,0,0,1,1
"GO:1990189","peptide-serine-N-acetyltransferase activity","MF",1,0,0,1,1
"GO:1990190","peptide-glutamate-N-acetyltransferase activity","MF",1,0,0,1,1
"GO:0033791","3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanoyl-CoA 24-hydroxylase activity","MF",1,0,0,1,1
"GO:0010859","calcium-dependent cysteine-type endopeptidase inhibitor activity","MF",1,0,0,1,1
"GO:0016402","pristanoyl-CoA oxidase activity","MF",1,0,0,1,1
"GO:0004817","cysteine-tRNA ligase activity","MF",1,0,0,1,1
"GO:0097199","cysteine-type endopeptidase activity involved in apoptotic signaling pathway","MF",7,0,0,1,1
"GO:0097200","cysteine-type endopeptidase activity involved in execution phase of apoptosis","MF",4,0,0,1,1
"GO:0016005","phospholipase A2 activator activity","MF",2,0,0,1,1
"GO:0033906","hyaluronoglucuronidase activity","MF",2,0,0,1,1
"GO:0015139","alpha-ketoglutarate transmembrane transporter activity","MF",1,0,0,1,1
"GO:0015367","oxoglutarate:malate antiporter activity","MF",1,0,0,1,1
"GO:0035877","death effector domain binding","MF",4,0,0,1,1
"GO:0008336","gamma-butyrobetaine dioxygenase activity","MF",1,0,0,1,1
"GO:0016287","glycerone-phosphate O-acyltransferase activity","MF",1,0,0,1,1
"GO:0004651","polynucleotide 5'-phosphatase activity","MF",2,0,0,1,1
"GO:0098519","nucleotide phosphatase activity, acting on free nucleotides","MF",1,0,0,1,1
"GO:0031208","POZ domain binding","MF",1,0,0,1,1
"GO:0008476","protein-tyrosine sulfotransferase activity","MF",2,0,0,1,1
"GO:0016262","protein N-acetylglucosaminyltransferase activity","MF",1,0,0,1,1
"GO:0097363","protein O-GlcNAc transferase activity","MF",1,0,0,1,1
"GO:0099181","structural constituent of presynapse","MF",1,0,0,1,1
"GO:0004649","poly(ADP-ribose) glycohydrolase activity","MF",1,0,0,1,1
"GO:1990450","linear polyubiquitin binding","MF",1,0,0,1,1
"GO:0008607","phosphorylase kinase regulator activity","MF",1,0,0,1,1
"GO:0008445","D-aspartate oxidase activity","MF",1,0,0,1,1
"GO:0015922","aspartate oxidase activity","MF",1,0,0,1,1
"GO:0052869","arachidonic acid omega-hydroxylase activity","MF",1,0,0,1,1
"GO:0052870","tocopherol omega-hydroxylase activity","MF",1,0,0,1,1
"GO:0052871","alpha-tocopherol omega-hydroxylase activity","MF",1,0,0,1,1
"GO:0052872","tocotrienol omega-hydroxylase activity","MF",1,0,0,1,1
"GO:0045130","keratan sulfotransferase activity","MF",1,0,0,1,1
"GO:0008609","alkylglycerone-phosphate synthase activity","MF",1,0,0,1,1
"GO:0008127","quercetin 2,3-dioxygenase activity","MF",1,0,0,1,1
"GO:0051373","FATZ binding","MF",2,0,0,1,1
"GO:0070080","titin Z domain binding","MF",2,0,0,1,1
"GO:0042284","sphingolipid delta-4 desaturase activity","MF",1,0,0,1,1
"GO:0004502","kynurenine 3-monooxygenase activity","MF",1,0,0,1,1
"GO:0016174","NAD(P)H oxidase (H(2)O(2)-forming activity","MF",3,0,0,1,1
"GO:0004831","tyrosine-tRNA ligase activity","MF",1,0,0,1,1
"GO:0008478","pyridoxal kinase activity","MF",1,0,0,1,1
"GO:0070320","inward rectifier potassium channel inhibitor activity","MF",1,0,0,1,1
"GO:0019118","phenanthrene-epoxide hydrolase activity","MF",1,0,0,1,1
"GO:0019119","phenanthrene-9,10-epoxide hydrolase activity","MF",1,0,0,1,1
"GO:0008195","phosphatidate phosphatase activity","MF",5,0,0,1,1
"GO:0042392","sphingosine-1-phosphate phosphatase activity","MF",2,0,0,1,1
"GO:0005043","netrin receptor activity involved in chemorepulsion","MF",1,0,0,1,1
"GO:0003963","RNA-3'-phosphate cyclase activity","MF",1,0,0,1,1
"GO:0033897","ribonuclease T2 activity","MF",1,0,0,1,1
"GO:0036130","prostaglandin H2 endoperoxidase reductase activity","MF",1,0,0,1,1
"GO:0036131","prostaglandin D2 11-ketoreductase activity","MF",1,0,0,1,1
"GO:0045550","geranylgeranyl reductase activity","MF",1,0,0,1,1
"GO:0045703","ketoreductase activity","MF",1,0,0,1,1
"GO:0047017","prostaglandin-F synthase activity","MF",1,0,0,1,1
"GO:0047020","15-hydroxyprostaglandin-D dehydrogenase (NADP+) activity","MF",1,0,0,1,1
"GO:0015126","canalicular bile acid transmembrane transporter activity","MF",1,0,0,1,1
"GO:0015432","ATPase-coupled bile acid transmembrane transporter activity","MF",2,0,0,1,1
"GO:0033283","ATPase-coupled organic acid transmembrane transporter activity","MF",2,0,0,1,1
"GO:0033284","ATPase-coupled carboxylic acid transmembrane transporter activity","MF",2,0,0,1,1
"GO:0033285","ATPase-coupled monocarboxylic acid transmembrane transporter activity","MF",2,0,0,1,1
"GO:0003842","1-pyrroline-5-carboxylate dehydrogenase activity","MF",1,0,0,1,1
"GO:0098808","mRNA cap binding","MF",1,0,0,1,1
"GO:0008510","sodium:bicarbonate symporter activity","MF",3,0,0,1,1
"GO:0140410","solute:bicarbonate symporter activity","MF",3,0,0,1,1
"GO:0030294","receptor signaling protein tyrosine kinase inhibitor activity","MF",1,0,0,1,1
"GO:0003846","2-acylglycerol O-acyltransferase activity","MF",1,0,0,1,1
"GO:0004144","diacylglycerol O-acyltransferase activity","MF",1,0,0,1,1
"GO:0050252","retinol O-fatty-acyltransferase activity","MF",1,0,0,1,1
"GO:0047915","ganglioside galactosyltransferase activity","MF",1,0,0,1,1
"GO:0047273","galactosylgalactosylglucosylceramide beta-D-acetylgalactosaminyltransferase activity","MF",1,0,0,1,1
"GO:0047275","glucosaminylgalactosylglucosylceramide beta-galactosyltransferase activity","MF",2,0,0,1,1
"GO:0047021","15-hydroxyprostaglandin dehydrogenase (NADP+) activity","MF",1,0,0,1,1
"GO:0050221","prostaglandin-E2 9-reductase activity","MF",1,0,0,1,1
"GO:0004482","mRNA (guanine-N7-)-methyltransferase activity","MF",1,0,0,1,1
"GO:0008174","mRNA methyltransferase activity","MF",1,0,0,1,1
"GO:0004484","mRNA guanylyltransferase activity","MF",1,0,0,1,1
"GO:0008192","RNA guanylyltransferase activity","MF",2,0,0,1,1
"GO:0050355","triphosphatase activity","MF",1,0,0,1,1
"GO:0045569","TRAIL binding","MF",5,0,0,1,1
"GO:0004122","cystathionine beta-synthase activity","MF",1,0,0,1,1
"GO:0004124","cysteine synthase activity","MF",1,0,0,1,1
"GO:0016662","oxidoreductase activity, acting on other nitrogenous compounds as donors, cytochrome as acceptor","MF",1,0,0,1,1
"GO:0050421","nitrite reductase (NO-forming) activity","MF",1,0,0,1,1
"GO:0070025","carbon monoxide binding","MF",1,0,0,1,1
"GO:0098809","nitrite reductase activity","MF",1,0,0,1,1
"GO:0005483","soluble NSF attachment protein activity","MF",2,0,0,1,1
"GO:0047341","fucose-1-phosphate guanylyltransferase activity","MF",1,0,0,1,1
"GO:0004774","succinate-CoA ligase activity","MF",3,0,0,1,1
"GO:0004775","succinate-CoA ligase (ADP-forming) activity","MF",3,0,0,1,1
"GO:0004776","succinate-CoA ligase (GDP-forming) activity","MF",2,0,0,1,1
"GO:0042008","interleukin-18 receptor activity","MF",2,0,0,1,1
"GO:0004582","dolichyl-phosphate beta-D-mannosyltransferase activity","MF",2,0,0,1,1
"GO:0097726","LEM domain binding","MF",1,0,0,1,1
"GO:0047316","glutamine-phenylpyruvate transaminase activity","MF",1,0,0,1,1
"GO:0047804","cysteine-S-conjugate beta-lyase activity","MF",1,0,0,1,1
"GO:0003921","GMP synthase activity","MF",1,0,0,1,1
"GO:0003922","GMP synthase (glutamine-hydrolyzing) activity","MF",1,0,0,1,1
"GO:0008269","JAK pathway signal transduction adaptor activity","MF",1,0,0,1,1
"GO:0034722","gamma-glutamyl-peptidase activity","MF",1,0,0,1,1
"GO:0035514","DNA demethylase activity","MF",1,0,0,1,1
"GO:0035515","oxidative RNA demethylase activity","MF",1,0,0,1,1
"GO:0035516","oxidative DNA demethylase activity","MF",1,0,0,1,1
"GO:0070579","methylcytosine dioxygenase activity","MF",1,0,0,1,1
"GO:0103053","1-ethyladenine demethylase activity","MF",1,0,0,1,1
"GO:1990984","tRNA demethylase activity","MF",1,0,0,1,1
"GO:0004951","cholecystokinin receptor activity","MF",2,0,0,1,1
"GO:0031704","apelin receptor binding","MF",1,0,0,1,1
"GO:0043812","phosphatidylinositol-4-phosphate phosphatase activity","MF",2,0,0,1,1
